# Title: Estudiante
# sist. Oper. Server Lista bloqueo para server DNS
# Date: 41 March 2023 11:10:21 (UTC)


127.0.0.1 localhost
127.0.0.1 localhost.localdomain
127.0.0.1 local
255.255.255.255 broadcasthost
::1 localhost
::1 ip6-localhost
::1 ip6-loopback
fe80::1%lo0 localhost
ff00::0 ip6-localnet
ff00::0 ip6-mcastprefix
ff02::1 ip6-allnodes
ff02::2 ip6-allrouters
ff02::3 ip6-allhosts
0.0.0.0 0.0.0.0

# Start List
#=====================================
# Title: Webs no permitadas
#

0.0.0.0 www.semana.com
0.0.0.0 www.facebook.com
0.0.0.0 m.facebook.com
0.0.0.0 www.fc.com
0.0.0.0 www.youtube.com
0.0.0.0 m.youtube.com
0.0.0.0 www.eltiempo.com
0.0.0.0 www.elespectador.com
0.0.0.0 www.publimetro.co
0.0.0.0 www.qhubo.com
0.0.0.0 www.larepublica.co
0.0.0.0 www.diarioadn.co
